listing,price,brand,size
Saint Laurent Calfskin Small Sac De Jour Lipstick Pink,1239.0,Saint Laurent,Size: OS
Thalia Sodi Snake Print Cosmetic Bag - Black and Pink New With Tags,18.0,Thalia Sodi,Size: OS
Ori Black Round Crossbody Bag,40.0,ORI LONDON,Size: OS
Chanel Large CC Leather Wallet,135.0,CHANEL,Size: OS
Dooney And Bourke | Vintage Grey Canvas Monogram Handbag Gold Hardware,51.0,Dooney & Bourke,Size: OS
Louis Vuitton Pallas MM (feel free to make an offer),1500.0,Louis Vuitton,Size: OS
NWT Longchamp brown zippered tote,202.0,Longchamp,Size: OS
Vintage rattan bag,50.0,unbranded,Size: OS
New Dachshund Leather Wallet,22.0,N/A,N/A
C&C CALIFORNIA Tan Leather Shoulder Bag,55.0,C&C California,Size: OS
Dopp black wallet..,15.0,Dopp,Size: OS
Coach Brown Leather Wristlet Wallet,39.0,Coach,Size: OS
Patricia Nash Brown and Blue Floral Embossed Clutch,66.0,Patricia Nash,Size: OS
Betsey Johnson LUV Betsey LBEVIE Pink Black Heart Shaped Snake Print Studded Bag,50.0,Betsey Johnson,Size: OS
Elegant Black Mini Bag🌷🌷,24.0,botkier New York,Size: OS
Vera Bradley RFID Petite Zip-Around Wallet Mod Paisley NWT,30.0,Vera Bradley,Size: OS
Badgley Mischka Quilted Gray Coin Purse Vegan Wallet,17.0,Badgley Mischka,Size: OS
MICHAEL Michael Kors Tan Studded Astor Vintage Shoulder Bag,75.0,MICHAEL Michael Kors,Size: OS
Bolzano Brown Leather Bucket Shoulder Bag EUC,32.0,Bolzano,Size: OS
Studio Badgley Mischka Black‎ Quilted Vegan Leather Mini Satchel Crossbody,45.0,Studio Badgley Mischka,Size: OS
Gucci satin dustbag,21.0,Gucci,Size: OS
NWT Madi + Lili Josie Crossbody,34.0,madi + lili,Size: OS
Poppy Lissiman Puff Bag - Blue,85.0,Poppy Lissiman,Size: OS
The Sak tan griege knit fabric woven small shoulder bag in like new condition,38.0,The Sak,Size: OS
Michael Kors Emilia Small Bucket Bag Messenger Leather Luggage,160.0,Michael Kors,Size: OS
MCM LONG ZIPPERED WALLET,150.0,MCM,Size: Approx 4x7.5
💎✨Authentic Louis Vuitton Monogram Canvas Galliera PM Shoulder Bag,2000.0,Louis Vuitton,Size: OS
NWT 2 Piece Betty Boop Bag Bundle,90.0,Lany,Size: 9” x 6” w/24” strap drop
LALO SOFT CALF EMBOSSED ITALIAN LEATHER HANDBAG,300.0,Lalo,Size: OS
Pop Mart Labubu Big Into Energy Blind Box.,55.0,POP MART,Size: Blind box
Madewell NWT The Pouch Clutch Leather Black Classic Basic Preppy Casual,35.0,Madewell,Size: OS
Victoria’s Secret Limited Edition Large Metallic Weekender Tote Bag 2017,25.0,Victoria's Secret,Size: OS
Silver Glitter Evil Eye Clutch with Strap,15.0,N/A,Size: OS
Vintage Gucci Brown Crossbody Bag with Red Accent,150.0,Gucci,Size: OS
COPY - Authentic Salvatore Ferragamo Vara Shoulder Tote Bag Navy Blue,465.0,Salvatore Ferragamo,Size: 13.8 x 11.4 x 5”
Victorinox Victoria Charisma Carry-All Tote Bag,138.0,Victorinox,Size: OS
Chic Pink Quilted Chain Bag,20.0,N/A,Size: OS
DKNY Sullivan Leather Convertible Satchel Ivory/Gold Bag Purse Spring‎ Summer,50.0,Dkny,Size: OS
Sondra Roberts New York NWT Shoulder Bag,40.0,Sondra Roberts,Size: OS
Botkier Black Faux Leather Fold Over Backpack NWT,40.0,Botkier,Size: OS
Maxx New York Crocodile Embossed Shoulder Bag | Paisley Lining | Black,25.0,Maxx New York,Size: M
NEW Zenana Tan Knit Bow Tote Bag Cottagecore Coquette Soft Girl Boutique,32.0,Zenana,Size: OS
Bottega Veneta Snow White Intrecciato Wallet,90.0,Bottega Veneta,Size: OS
Marc Jacobs Black Nylon Backpack Logo Mini,70.0,Marc Jacobs,Size: OS
Lululemon Daily Multi-Pocket Mini Canvas Tote Bag 6.5L (Natural/Pow Pink Tone),75.0,lululemon athletica,Size: OS
Badgley Mischka Blush Pink Quilted Crossbody and convertible clutch,35.0,Badgley Mischka,Size: OS
